articleSourceId,sourceUrl,title,englishAbstract,spanishAbstract,portugueseAbstract,owner,pais,producto,dateOfHit
mdl-39292007,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39292007,Treating primary membranous nephropathy with extremely high titer of anti-phospholipase A2 receptor antibodies: A case of failed treatment with very high-dose rituximab.,"Rituximab (RTX) is the anti-CD20 monoclonal antibody that has been used as the first-line therapy for primary membranous nephropathy (PMN) in recent years. However, the optimal dosing regimen and timing of RTX, or combination with other immunosuppressants, especially in patients with extremely high titers (> 1,000 RU/mL) of anti-PLA2R antibody (aPLA2R), are unclear at present. This report describes the case of a 70-year-old PMN patient with extremely high aPLA2R titer who failed to respond to very high doses of RTX. We also discuss the possible reasons for treatment failure.","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39301301,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39301301,Biosimilars in Dermatology Review.,"Background: Safe and effective biosimilar medications have the potential to significantly increase access to these valuable drugs. The two current biosimilars available in dermatology in the United States (US) are infliximab and rituximab which were Food and Drug Administration (FDA) approved in 2016 and 2018 respectively. There has been significant interest in this topic as a number of biosimilar versions of adalimumab will be available in 2023. Objective: This review will discuss biosimilar basics and the experience with biosimilars used in dermatology in the US, Asia, and Europe. Methods: All articles in Ovid/Medline from 2015 to Feb 2023 on biosimilars were reviewed with a particular emphasis on medications used in dermatology. Other reports from pharmaceutical manufacturers and blogs following the development of the biosimilar industry provided key insights. Results: Biosimilars have been able to produce significant savings and market share increases, particularly in Europe, where there has been a longer experience. The specifics depend on drug prescribing practices and incentives in the individual country. This degree of savings and market share increases have not been realized with the current biosimilars available in the US. Conclusion: While biosimilars have resulted in significant savings compared to originator drugs, it is clear that prescribing incentives and physician education are crucial in achieving these savings. To what degree biosimilar market share will increase in the US remains to be determined.","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39308028,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39308028,Acalabrutinib alone or in combination with rituximab for follicular lymphoma: An open-label study.,"Acalabrutinib is a selective, second-generation Bruton tyrosine kinase inhibitor. In this open-label, parallel-group study, patients with relapsed/refractory (R/R) follicular lymphoma (FL) were randomised to either acalabrutinib monotherapy or acalabrutinib plus rituximab. An additional cohort of patients with treatment-naive (TN) FL received only the acalabrutinib-rituximab combination. Acalabrutinib-rituximab was well tolerated and active in R/R and TN FL; in the TN cohort the overall response rate was 92.3% with most remissions lasting over 4 years. Acalabrutinib monotherapy was also well tolerated and active in R/R FL. These results support further study of acalabrutinib alone and in combination with rituximab in FL.","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39269355,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39269355,[The care pathway of patients with diffuse large B-cell lymphoma described through Italian administrative healthcare data.],"","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39267189,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39267189,Assessing hepatitis B virus serologies when transitioning patients from intravenous immune globulin therapy to rituximab for the treatment of autoimmune neuromuscular diseases.,"INTRODUCTION/AIMS: Intravenous immune globulin (IVIG) has been used as early treatment for autoimmune neuromuscular diseases, but due to cost and frequency, may be switched to rituximab. Rituximab and other B-cell-depleting medications require screening of hepatitis B virus (HBV) serologies given the risk of HBV reactivation (HBVr). We aimed to describe the incidence and characteristics of passively transferred antiviral serologies from IVIG and how to differentiate between passive antibody transfer and resolved HBV infection. METHODS: This was a single-center descriptive study of neurology patients prescribed rituximab and IVIG. Retrospective medical record reviews were performed and patient-specific variables were collected. RESULTS: Twelve patients had reactive anti-HBc results after starting IVIG, but only 9 were confirmed to have reactive anti-HBc from passive transfer. Whether reactive anti-HBc in the remaining three patients was from passive IVIG transfer could not be confirmed. Five patients with reactive anti-HBc results during rituximab screening did not have pre-IVIG anti-HBc results for comparison and were started on antiviral prophylaxis. Reactive anti-HBc serologies changed to nonreactive after IVIG discontinuation 44-321 days after the last IVIG infusion. DISCUSSION: This study confirms IVIG can passively transfer anti-HBc serologies in a neurologic cohort. Ideally, HBV serologies would be checked before starting IVIG to help later determine if passive transfer occurred. With the increasing use of B-cell-depleting medications for neuromuscular conditions, it is important for providers to be knowledgeable on the interpretation of HBV serologies for patients on IVIG and to ensure implementation of an HBVr prophylaxis management strategy for patients when appropriate.","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39267488,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39267488,Considerations for the use of biological therapies in elderly patients with rheumatoid arthritis.,"INTRODUCTION: Rheumatoid arthritis (RA) is a chronic autoimmune inflammatory disease that primarily affects middle-aged individuals but is increasingly prevalent among the elderly due to longer life expectancies. Treating elderly onset RA (EORA) is challenging for clinicians because of unique disease characteristics, comorbidities, polypharmacy, age-related physiological changes, and limited studies on the safety and efficacy of biological therapies in this population. This review aims to evaluate the use of various biological therapies in elderly RA patients. AREAS COVERED: This narrative review examines various aspects of RA in the elderly using published literature, randomized control trials, meta-analyses, and recommendations from the National Institute for Health and Care Excellence (NICE) and The European Alliance of Associations for Rheumatology (EULAR). EXPERT OPINION: In EORA patients, the initiation of biological therapy is often delayed. Methotrexate remains the first-line treatment for both EORA and young onset RA (YORA). The combination of methotrexate and biological treatment shows comparable safety and efficacy in both EORA and YORA, except for rituximab, which is less effective in patients over 75. For elderly RA patients, biological (b-) disease-modifying antirheumatic drugs (DMARDs) are preferred as the first advanced therapy over targeted synthetic (ts-) DMARDs due to their superior safety profile.","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39280383,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39280383,Impact of Rituximab on Remission Rates in Granulomatosis With Polyangiitis: A Systematic Review.,"This systematic review evaluates the efficacy of rituximab in inducing and maintaining remission in patients with granulomatosis with polyangiitis (GPA). We conducted a comprehensive search across multiple databases, identifying 81 studies, of which 11 met our inclusion criteria after rigorous screening and assessment for relevance and quality. Our analysis shows that rituximab, compared to traditional treatments such as cyclophosphamide and azathioprine, significantly improves remission rates and reduces relapse frequency in GPA patients. Notably, rituximab's benefits extend across various patient demographics, including pediatric groups, and are evident in different dosing regimens, highlighting its versatility and potential as a first-line therapy. The review also underscores the importance of personalized medicine approaches in managing GPA, as rituximab's effectiveness was particularly pronounced in patients with relapsing disease forms. Future research should focus on long-term outcomes, optimal dosing strategies, and the economic implications of widespread rituximab use in clinical practice. Our findings advocate for the integration of rituximab into standard treatment protocols for GPA, offering new hope for patients afflicted with this challenging autoimmune disorder.","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39280452,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39280452,Female With Hypertensive Emergency Later Found to Have ANCA-Associated Vasculitis: A Case Report.,"Granulomatosis with polyangiitis (GPA) is a form of ANCA-associated vasculitis characterized by necrotizing vasculitis affecting small blood vessels. The clinical presentation varies based on organ involvement, commonly affecting the upper and lower respiratory tracts and kidneys. Typical GPA presents as recurrent sinus infection, otitis media, dyspnea, chest pain, and glomerulonephritis, which can present as hematuria, proteinuria, and elevated serum creatinine. ANCA tests positive in the majority of cases. Treatment strategies involve induction of remission and maintenance therapy. We report a case of a 48-year-old female presenting with a hypertensive emergency, a rarely reported manifestation of GPA. She initially presented with severe headache and cough, with systolic blood pressure exceeding 220 mmHg, necessitating hospital admission. The initial workup revealed elevated serum creatinine and CT chest findings suggestive of multi-lobar pneumonia, for which she received antibiotic treatment. Despite aggressive antihypertensive therapy, her blood pressure remained refractory, and she developed hematuria and anemia, requiring a blood transfusion. Further evaluation revealed a history of joint pain, recurrent sinus infections, and a pruritic skin rash, prompting suspicion of vasculitis. Further work-up included elevated erythrocyte sedimentation rate (ESR), normal IgE, absence of eosinophilia, and positive PR3 antibodies and c-ANCA. Prompted by clinical suspicion, treatment with steroids was initiated, and a kidney biopsy confirmed acute necrotizing pauci-immune glomerulonephritis consistent with GPA. Subsequently, rituximab therapy was initiated, resulting in significant improvement in her clinical symptoms and blood pressure, and the patient was successfully discharged home. This case highlights a rare presentation of GPA as a hypertensive emergency, possibly linked to renal involvement in the form of glomerulonephritis. Pulmonary manifestations mimicking infections posed diagnostic challenges. Cutaneous findings potentially associated with increased joint and renal involvement underscore the clinical complexity of GPA. The unusual presentation of hypertensive emergency in young patients underscores the need for heightened awareness of this potential manifestation in GPA. Early recognition and aggressive immunosuppressive therapy are crucial to mitigate irreversible renal damage in such atypical presentations.","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39321406,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39321406,Anti-CD20 Therapies in Drug-Naive Patients With Primary Progressive Multiple Sclerosis: A Multicenter Real-Life Study.,"BACKGROUND AND OBJECTIVES: Although rituximab failed to demonstrate a significant effect on disability progression in primary progressive multiple sclerosis (PPMS), ocrelizumab succeeded. Our main objective was to analyze confirmed disability progression (CDP) in a cohort of patients with PPMS treated with anti-CD20 therapies compared with a weighted untreated control cohort. METHODS: This was a retrospective study using data from the French MS registry (Observatoire Français de la Sclérose En Plaques). We included patients with PPMS treated or never treated with anti-CD20 therapies from 2016 to 2021, with an Expanded Disability Status Scale score of ≤6.5 at baseline. The primary outcome was time to first CDP. The secondary outcomes were time to first relapse, MRI activity at 2 years, identification of risk factors associated with CDP, and serious infection incidence rates (IIRs). Each outcome was studied using an inverse probability of treatment weighting method. The outcomes were modeled using a weighted proportional Cox model for the time-to-event outcomes and by a logistic regression regarding the MRI activity. RESULTS: A total of 1,184 patients (426 treated and 758 untreated) fulfilled the inclusion criteria. Median age (Q1-Q3) was 56 years (49.3-63.8), and 52.7% were female. Among treated patients, 295 received rituximab, whereas 131 received ocrelizumab. At baseline, anti-CD20-treated patients were younger (median 51.9 vs 58.6 years, Cohen d = 0.683) and had more active disease (54.5 vs 27.8%, Cohen d = 0.562). 91.6% were drug-naive at inclusion. In time to first CDP analysis, no statistical significance was observed (hazard ratio [HR], 1.13; 95% CI 0.93-1.36, p = 0.2113). In time to first relapse analysis, a nonsignificant trend toward fewer patients relapsing in the treated group was observed (HR 0.83; 95% CI 0.48-1.28, p = 0.0809). For MRI activity, no significant difference was found between the 2 groups. Risk factors associated with CDP in the treated group were male sex and MS duration. IIR was 6.67 (95% CI 3.12-14.25) per 100 person-years in the treated group vs 2.67 (95% CI 0.80-8.86) in the untreated group. DISCUSSION: Time to first CDP was not different between anti-CD20 treated and untreated patients with PPMS. Although our study is retrospective and mainly included patients treated by rituximab, our results indicate that there should be a constant evaluation of all available data to ascertain the best risk/benefit ratio for patients with PPMS. CLASSIFICATION OF EVIDENCE: This study provides Class III evidence that anti-CD20 therapy of previously untreated patients with PPMS was not superior to no therapy in delaying time to first CDP.","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39324011,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39324011,Outcomes and toxicities in patients with diffuse-large B cell lymphoma involving the gastrointestinal tract and digestive organs.,"Background: Diffuse large B-cell lymphoma (DLBCL) involving the gastrointestinal (GI) organs is rare, and real-world outcomes after combined modality therapy (CMT) with systemic therapy (ST) and radiotherapy (RT) are not well-characterized, particularly in the contemporary era. We characterized outcomes in a large cohort of GI-DLBCL patients treated with ST alone or CMT. Methods: Patients with GI-DLBCL treated at a single institution were retrospectively reviewed. Kaplan-Meier and Cox regression models estimated survival. Multivariable analyses were conducted using the Cox proportional hazards model. Results: Of 204 patients, gastric involvement was most common (63%). Most presented with early-stage disease (61%). All patients received ST and 65 patients (32%) received RT, 88% as part of first-line CMT. Median dose was 36 Gy (IQR 30.6-39.6) in 18 fractions (IQR 17-22). Median follow-up was 46 months. Five-year overall survival (OS) and progression-free survival (PFS) was 88% and 84%, respectively; complete response (CR) rate was 82%. Improved OS associated with low IPI (p=0.001), fewer chemotherapy lines (p<0.001), early stage (p<0.006), and CR (p<0.001). Survival did not differ by RT receipt (p>0.25). Only early stage and CR correlated with improved OS on multivariable analysis. Stomach-directed RT vs. RT to other sites correlated with improved PFS and OS (p<0.04). Patients with early stage DLBCL treated with CMT in the post-rituximab era had equivalent OS vs. ST alone, even with fewer chemotherapy cycles (p<0.02; median of 4 with RT vs. 6 cycles without). Fifty patients had bulky disease (≥7.5 cm), of whom 18 (36%) had early stage disease. Among patients with bulky disease, 5 (10%) developed relapse at the initial site of disease bulk. Four of the 5 patients did not receive consolidative radiation. Among these 4 patients, 3 relapsed only in their initial site of bulky disease. Of 191 patients with luminal GI-DLBCL, n=4 (2.1%) developed perforation; only one received RT. Acute Grade 3 toxicities were reported in 41.2% of patients, and 12 (5.8%) patients had late Grade 3 toxicities, 99% attributed to chemotherapy. Conclusion: GI-DLBCL patients have favorable outcomes after CMT with minimal late toxicity. CMT may be offered with abridged systemic regimens with equivalent outcomes. Stomach directed-RT may mitigate relapse risk associated with incomplete disease response or bulky disease.","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39324574,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39324574,Assessing disease activity in scleroderma-related interstitial lung disease: a review and practical guide to management.,"Systemic sclerosis (SSc) is a heterogeneous disease with a propensity to involve multiple organ systems. There is a significant proportion of these patients with interstitial lung disease (ILD) who are at risk of mortality and morbidity. There are limited available tools to assess the severity of parenchymal lung involvement and are subject to confounding factors, including the presence of pulmonary hypertension and concomitant smoking history. The diagnostic tools include careful clinical history, examination, thoracic imaging, and pulmonary function tests. One of the limitations of assessing disease severity in SSc-ILD is the lack of standardized definitions for disease activity and serum biomarkers to predict future progression. Although there has been significant progress in managing SSc-related ILD over the last couple of decades with a few randomized double-blind clinical trials assessing the role of immunosuppression (mainly Cyclophosphamide and Mycophenolate Mofetil), the efficacy of these therapies is at best modest and is associated with significant toxicities. Furthermore, Nintedanib has shown promise in reducing forced vital capacity decline in SSc-ILD and in progressive fibrotic-ILD of a range of etiologies. Data are emerging for therapies like Rituximab and Tocilizumab, and we are likely to see further evidence of similar drugs being efficacious in this disease cohort. A relatively simplified algorithm is proposed in this review to guide clinicians dealing with ILD and SSc. It is imperative that clinicians take a multi-disciplinary approach to managing this complex disease in a changing therapeutic landscape.","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39318924,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39318924,Prognostic Factors for Mortality in Patients With Autoimmune Diseases Complicated by Pneumocystis Pneumonia.,"Objectives Pneumocystis pneumonia (PCP) has a poor prognosis in patients with autoimmune diseases. Additionally, the mortality of PCP in autoimmune diseases is higher than that of human immunodeficiency virus-PCP. Therefore, this study aimed to assess the risk factors associated with mortality in patients with autoimmune diseases complicated with PCP. Methods We conducted a retrospective observational study involving 38 patients treated for PCP at Showa University School of Medicine from January 2010 to August 2014. Diagnoses were established based on clinical symptoms, imaging, and laboratory tests, including hypoxemia (partial pressure of oxygen (PaO2) < 70 mmHg), chest computed tomography findings, elevated (1,3)-ß-D-glucan, and positive Pneumocystis jiroveciipolymerase chain reaction tests from sputum samples. Data regarding patient demographics, underlying diseases, therapeutic interventions, and laboratory findings were collected. Statistical comparisons between survivors and non-survivors were performed using Fisher's exact probability test and Mann-Whitney U test for independence test with Stata/SE version 17.0 (StataCorp LLC, College Station, TX). Results The median age of the study group was 72.4 years old, with the majority having rheumatoid arthritis. Mortality occurred in 18% (seven out of 38) of cases. Factors associated with increased mortality include males, higher serum creatinine and C-reactive protein levels, lower albumin and immunoglobulin A levels, and lower PaO2/fraction of inspired oxygen (FiO2) ratio. No significant difference was observed in the rate of intratracheal intubation, ICU management, and hospitalization period. Prophylactic administration of trimethoprim-sulfamethoxazole (TMP-SMX) was not performed in any of the cases. Conclusions This study examined the risk of mortality for PCP in patients with autoimmune diseases. The male gender, low IgA and albumin levels, low PaO2/FiO2 ratio, as well as high creatinine and CRP levels, were identified as significant factors for poor prognosis. These factors can help identify patients at high risk for PCP and guide the consideration of prophylactic TMP-SMX administration. They may also provide insights into when to discontinue prophylactic treatment. Future studies should investigate the administration of prophylactic TMP-SMX. Additionally, the risk of mortality for PCP under the administration of new biological agents, such as anifrolumab, belimumab, and rituximab, or immunosuppressants, such as mycophenolate mofetil and voclosporin, should be evaluated. These findings can contribute to improving PCP prevention and treatment strategies in patients with autoimmune diseases, ultimately leading to better patient outcomes.","","",ELEA,Argentina,NOVEX,2024-09-02
